,gender,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E_Tot,N_Tot,A_Tot,C_Tot,O_Tot
70,2,4,5,4,4,4,5,2,4,5,2,2,2,1,5,5,4,4,5,5,5,4,5,5,5,4,4,5,3,4,5,3,3,4,4,2,3,3,4,3,4,3,4,4,4,4,5,4,3,2,4,39,38,44,33,37
71,2,1,4,2,1,4,5,1,4,2,1,1,1,1,1,1,1,1,3,1,1,5,3,5,5,4,5,4,4,4,3,4,3,3,2,3,2,5,4,5,4,4,4,5,4,2,5,4,5,4,5,25,12,42,35,42
72,1,5,4,2,3,2,4,5,1,3,1,2,5,1,2,2,3,3,4,3,3,3,4,3,5,4,4,5,4,4,3,3,1,3,3,1,1,4,2,2,2,4,5,5,5,4,5,5,4,5,4,30,28,39,22,46
73,2,1,2,2,2,3,1,3,1,2,1,1,3,1,3,4,1,1,1,2,5,4,5,5,5,5,3,5,4,4,3,3,1,3,1,1,1,3,3,3,4,2,3,4,4,4,3,3,3,5,3,18,22,43,23,34
74,2,3,4,4,2,5,4,4,2,2,4,2,4,2,4,3,4,4,4,2,4,3,4,4,4,2,4,4,3,3,4,2,1,3,2,1,1,3,2,2,2,5,5,4,5,4,4,5,5,5,4,34,33,35,19,46
75,2,1,1,2,1,1,1,1,2,2,1,1,2,3,1,4,2,3,3,4,1,4,4,5,4,4,5,5,4,4,5,3,2,5,4,1,2,4,5,3,5,3,3,5,4,5,5,5,3,5,5,13,24,44,34,43
76,2,3,2,4,3,4,5,1,1,1,1,1,4,1,3,2,1,3,5,1,3,5,5,5,5,5,5,5,3,5,5,4,2,5,5,1,4,4,5,3,4,5,2,3,2,2,4,4,4,4,3,25,24,48,37,33
77,2,1,1,2,1,2,4,1,1,1,2,1,1,1,1,1,2,4,4,2,1,3,2,1,2,3,3,2,2,2,2,4,4,5,3,2,4,4,2,4,4,4,3,5,3,4,5,4,4,4,4,16,18,22,36,40
78,1,3,4,1,3,5,4,1,1,2,1,2,3,1,3,2,3,3,3,1,3,5,5,2,4,5,4,4,5,4,3,5,4,4,4,4,5,5,5,5,5,5,2,3,4,4,3,4,5,4,4,25,24,41,46,38
79,2,2,3,4,4,4,5,4,2,4,2,1,1,1,1,5,1,1,2,3,1,5,5,4,5,5,4,5,5,5,3,4,1,2,1,2,1,4,3,2,3,4,4,5,4,4,5,5,4,5,4,34,17,46,23,44
80,2,3,5,3,5,5,5,1,4,3,1,1,1,1,2,2,1,2,2,1,1,5,5,1,5,5,3,5,5,5,3,3,1,5,1,1,1,4,5,5,5,5,5,5,5,4,5,5,5,5,5,35,14,42,31,49
81,1,3,2,3,3,3,1,2,1,3,2,1,4,1,1,2,1,1,1,1,1,4,2,2,3,4,3,2,3,3,4,3,3,4,2,3,2,3,3,3,3,4,5,4,5,2,4,4,4,5,3,23,14,30,29,40
82,2,3,3,3,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,4,4,5,4,4,4,4,3,5,4,5,4,5,5,3,3,3,2,4,4,3,4,3,4,2,3,4,31,30,40,40,33
83,1,4,4,5,3,5,5,4,5,5,5,5,3,3,3,4,5,5,5,5,4,3,4,4,4,5,4,4,4,4,5,5,5,5,4,3,5,2,4,5,3,5,4,3,3,3,5,5,2,3,3,45,42,41,41,36
84,2,4,5,5,4,5,5,5,5,5,4,3,4,2,3,4,3,4,3,3,4,5,5,5,5,5,4,5,1,5,5,3,4,4,4,4,5,4,5,4,3,4,4,5,4,5,5,5,4,4,5,47,33,45,40,45
85,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,39,38,36,39,39
86,1,2,4,2,3,2,4,5,3,3,1,3,3,2,1,4,2,3,3,2,1,2,3,2,4,3,4,2,3,3,2,2,4,3,2,3,3,4,2,3,3,5,4,5,4,2,5,4,3,4,3,29,24,28,29,39
87,2,3,4,2,4,4,3,4,2,4,2,2,3,1,2,4,3,2,2,3,2,3,1,5,4,3,3,2,3,4,4,3,3,5,3,2,1,4,3,2,4,4,5,5,5,4,5,5,4,4,4,32,24,32,30,45
88,2,3,3,5,4,5,5,2,3,3,4,5,5,4,1,5,4,5,5,3,3,5,3,5,4,4,3,4,3,3,3,3,5,2,5,5,4,4,3,2,4,3,2,3,3,3,2,5,1,4,5,37,40,37,37,31
89,1,1,1,1,1,1,2,1,1,3,1,2,3,1,1,2,3,5,5,5,5,5,5,5,5,5,3,5,5,4,4,1,2,5,5,1,1,1,3,1,3,5,5,5,5,5,5,4,5,5,5,13,32,46,23,49
